priority,field1,match_type1,pattern1,field2,match_type2,pattern2,category,price_group_hint,note
48,First Product Line,equals,Intelligent Computing,Second Product Line,equals,Intelligent Video Surveillance Server,IVSS,IVSS,"auto-learn dominant first+second (167, purity=1.000)"
49,First Product Line,equals,Commercial Display,Second Product Line,equals,Outdoor LED Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (139, purity=1.000)"
50,First Product Line,equals,Commercial Display,Second Product Line,equals,Rental LED Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (138, purity=1.000)"
51,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,Traffic Accessory,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (125, purity=1.000)"
52,First Product Line,equals,Fire Alarm,Second Product Line,equals,Overseas Commercial Fire Alarm,烟感,烟感,"auto-learn dominant first+second (118, purity=1.000)"
53,First Product Line,equals,Storage Product,Second Product Line,equals,EVS,EVS,EVS,"auto-learn dominant first+second (117, purity=1.000)"
54,First Product Line,equals,Commercial Display,Second Product Line,equals,Education Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (107, purity=1.000)"
55,First Product Line,equals,Fire Alarm,Second Product Line,equals,Residential Fire Alarm,烟感,烟感,"auto-learn dominant first+second (106, purity=1.000)"
56,First Product Line,equals,Accessory,Second Product Line,equals,Solar,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (100, purity=1.000)"
57,First Product Line,equals,Central Control,Second Product Line,equals,LED Control,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (97, purity=1.000)"
58,First Product Line,equals,Alarm,Second Product Line,equals,Wired Alarm,ALARM,ALARM,"auto-learn dominant first+second (92, purity=1.000)"
59,First Product Line,equals,Accessory,Second Product Line,equals,Power,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (91, purity=1.000)"
60,First Product Line,equals,Intelligent EV Charging,Second Product Line,equals,AC Charger,充电桩,充电桩,"auto-learn dominant first+second (73, purity=1.000)"
61,First Product Line,equals,Commercial Display,Second Product Line,equals,Conference Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (68, purity=1.000)"
62,First Product Line,equals,Dahua Storage,Second Product Line,equals,SSD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (64, purity=1.000)"
63,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,Signal Controller,交通,交通/停车场,"auto-learn dominant first+second (64, purity=1.000)"
64,First Product Line,equals,TPC Camera,Second Product Line,equals,Specialized Thermal Device,THERMAL,THERMAL,"auto-learn dominant first+second (62, purity=1.000)"
65,First Product Line,equals,Thermal Camera,Second Product Line,equals,Thermal Body Temperature Monitoring Camera,THERMAL,THERMAL,"auto-learn dominant first+second (59, purity=1.000)"
66,First Product Line,equals,Intelligent Computing,Second Product Line,equals,Intelligent Server,IVSS,IVSS,"auto-learn dominant first+second (58, purity=1.000)"
67,First Product Line,equals,Commercial Display,Second Product Line,equals,Innovative LED Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (47, purity=1.000)"
68,First Product Line,equals,Dahua Service,Second Product Line,equals,Delivery,软件,软件,"auto-learn dominant first+second (47, purity=1.000)"
69,First Product Line,equals,Central Control,Second Product Line,equals,Audio Products,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (44, purity=1.000)"
70,First Product Line,equals,Alarm,Second Product Line,equals,IoT Alarm,ALARM,ALARM,"auto-learn dominant first+second (43, purity=1.000)"
71,First Product Line,equals,Video Conference,Second Product Line,equals,Video Communication,视频会议,视频会议,"auto-learn dominant first+second (43, purity=1.000)"
72,First Product Line,equals,Dahua Auto,Second Product Line,equals,OEM Auto Products,车载前端,车载,"auto-learn dominant first+second (43, purity=1.000)"
73,First Product Line,equals,DAHUA ISCAN,Second Product Line,equals,Human Detection,安检机,安检,"auto-learn dominant first+second (41, purity=1.000)"
74,First Product Line,equals,DAHUA ISCAN,Second Product Line,equals,Luggage and Parcel,安检机,安检,"auto-learn dominant first+second (40, purity=1.000)"
75,First Product Line,equals,Intelligent EV Charging,Second Product Line,equals,DC Integrated Charger,充电桩,充电桩,"auto-learn dominant first+second (40, purity=1.000)"
76,First Product Line,equals,Dahua,Second Product Line,equals,Project,IPC,IPC,"auto-learn dominant first+second (39, purity=1.000)"
77,First Product Line,equals,Central Control,Second Product Line,equals,FeuVision Controller,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (39, purity=1.000)"
78,First Product Line,equals,Commercial Display,Second Product Line,equals,Video Conference,视频会议,视频会议,"auto-learn dominant first+second (37, purity=1.000)"
79,First Product Line,equals,Dahua,Second Product Line,equals,General,IPC,IPC,"auto-learn dominant first+second (37, purity=1.000)"
80,First Product Line,equals,PTZ,Second Product Line,equals,IoT PTZ Camera,PTZ,PTZ,"auto-learn dominant first+second (36, purity=1.000)"
81,First Product Line,equals,Storage Product,Second Product Line,equals,Mobile Terminal,交通,交通/停车场,"auto-learn dominant first+second (32, purity=1.000)"
82,First Product Line,equals,Dahua Storage,Second Product Line,equals,Surveillance SSD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (32, purity=1.000)"
83,First Product Line,equals,Video Conference,Second Product Line,equals,Intelligent Display,视频会议,视频会议,"auto-learn dominant first+second (32, purity=1.000)"
84,First Product Line,equals,TPC Camera,Second Product Line,equals,Thermal Core,THERMAL,THERMAL,"auto-learn dominant first+second (30, purity=1.000)"
85,First Product Line,equals,Accessory,Second Product Line,equals,Memory Card,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (29, purity=1.000)"
86,First Product Line,equals,Storage Product,Second Product Line,equals,Cloud Storage,EVS,EVS,"auto-learn dominant first+second (28, purity=1.000)"
87,First Product Line,equals,Accessory,Second Product Line,equals,Detector,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (25, purity=1.000)"
88,First Product Line,equals,Fire Alarm,Second Product Line,equals,Gas Detection,烟感,烟感,"auto-learn dominant first+second (25, purity=1.000)"
89,First Product Line,equals,Video Conference,Second Product Line,equals,USB Camera,视频会议,视频会议,"auto-learn dominant first+second (24, purity=1.000)"
90,First Product Line,equals,Central Control,Second Product Line,equals,Public Broadcasting,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (23, purity=1.000)"
91,First Product Line,equals,Fire Alarm,Second Product Line,equals,AI Fire Alarm,烟感,烟感,"auto-learn dominant first+second (22, purity=1.000)"
92,First Product Line,equals,Fire Alarm,Second Product Line,equals,Smart Water Management,烟感,烟感,"auto-learn dominant first+second (21, purity=1.000)"
93,First Product Line,equals,Accessory,Second Product Line,equals,SSD,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (19, purity=1.000)"
94,First Product Line,equals,Dahua Auto,Second Product Line,equals,Consumer Auto Products,车载前端,车载,"auto-learn dominant first+second (19, purity=1.000)"
95,First Product Line,equals,TPC Camera,Second Product Line,equals,MPT Temperature Monitoring,THERMAL,THERMAL,"auto-learn dominant first+second (17, purity=1.000)"
96,First Product Line,equals,Commercial Display,Second Product Line,equals,FeuVision LED Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (17, purity=1.000)"
97,First Product Line,equals,Dahua Storage,Second Product Line,equals,Memory Card,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (15, purity=1.000)"
98,First Product Line,equals,Dahua Storage,Second Product Line,equals,Memory,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (15, purity=1.000)"
99,First Product Line,equals,Dahua Storage,Second Product Line,equals,PSSD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (14, purity=1.000)"
100,First Product Line,equals,Government Software,Second Product Line,equals,Overseas Digital City Software,软件,软件,"auto-learn dominant first+second (14, purity=1.000)"
101,First Product Line,equals,Storage Product,Second Product Line,equals,Network KIT,NVR,NVR,"auto-learn dominant first+second (12, purity=1.000)"
102,First Product Line,equals,Storage,Second Product Line,equals,General,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (11, purity=1.000)"
103,First Product Line,equals,Accessory,Second Product Line,equals,Smart Lighting Pole,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (11, purity=1.000)"
104,First Product Line,equals,Commercial Display,Second Product Line,equals,TV,监视器,监视器,"auto-learn dominant first+second (11, purity=1.000)"
105,First Product Line,equals,DAHUA ISCAN,Second Product Line,equals,Anti-terrorist and Explosion-proof,安检机,安检,"auto-learn dominant first+second (10, purity=1.000)"
106,First Product Line,equals,General Storage,Second Product Line,equals,HDCVI KIT,XVR,XVR,"auto-learn dominant first+second (9, purity=1.000)"
107,First Product Line,equals,Big Data,Second Product Line,equals,Digital Intelligence Base,软件,软件,"auto-learn dominant first+second (9, purity=1.000)"
108,First Product Line,equals,DAHUA ISCAN,Second Product Line,equals,ISCAN Software,软件,软件,"auto-learn dominant first+second (9, purity=1.000)"
109,First Product Line,equals,Dahua,Second Product Line,equals,Service,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (9, purity=1.000)"
110,First Product Line,equals,Smart Camera,Second Product Line,equals,Consumer Network Camera,IPC,IPC,"auto-learn dominant first+second (8, purity=1.000)"
111,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,RFID,交通,交通/停车场,"auto-learn dominant first+second (7, purity=1.000)"
112,First Product Line,equals,Chengdu Software,Second Product Line,equals,Smart Video Software,软件,软件,"auto-learn dominant first+second (7, purity=1.000)"
113,First Product Line,equals,Dahua Auto,Second Product Line,equals,CV,车载前端,车载,"auto-learn dominant first+second (6, purity=1.000)"
114,First Product Line,equals,Fire Alarm,Second Product Line,equals,Commercial Fire Alarm,烟感,烟感,"auto-learn dominant first+second (6, purity=1.000)"
115,First Product Line,equals,General Storage,Second Product Line,equals,ATM,NVR,NVR,"auto-learn dominant first+second (6, purity=1.000)"
116,First Product Line,equals,Accessory,Second Product Line,equals,Smart Lighting,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (5, purity=1.000)"
117,First Product Line,equals,SMB Software,Second Product Line,equals,Public Cloud Software,软件,软件,"auto-learn dominant first+second (5, purity=1.000)"
118,First Product Line,equals,Dahua Storage,Second Product Line,equals,Surveillance Memory Card,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (4, purity=1.000)"
119,First Product Line,equals,Dahua Storage,Second Product Line,equals,USB flash drive,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (4, purity=1.000)"
120,First Product Line,equals,Enterprise Software,Second Product Line,equals,Smart Park Software,软件,软件,"auto-learn dominant first+second (4, purity=1.000)"
121,First Product Line,equals,Chengdu Software,Second Product Line,equals,Commercial and Industrial Enterprise Software,软件,软件,"auto-learn dominant first+second (4, purity=1.000)"
122,First Product Line,equals,Dahua Auto,Second Product Line,equals,Auto Cloud,软件,软件,"auto-learn dominant first+second (4, purity=1.000)"
123,First Product Line,equals,Fire Alarm,Second Product Line,equals,Smart Fire Alarm,烟感,烟感,"auto-learn dominant first+second (3, purity=1.000)"
124,First Product Line,equals,General Storage,Second Product Line,equals,Mobile Portable Terminal,交通,交通/停车场,"auto-learn dominant first+second (3, purity=1.000)"
125,First Product Line,equals,Big Data,Second Product Line,equals,Big Data,软件,软件,"auto-learn dominant first+second (3, purity=1.000)"
126,First Product Line,equals,Video Conference,Second Product Line,equals,Audio and Paperless Products,视频会议,视频会议,"auto-learn dominant first+second (3, purity=1.000)"
127,First Product Line,equals,Commercial Display,Second Product Line,equals,FeuVision LCD Video Wall,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (3, purity=1.000)"
128,First Product Line,equals,Xi'an Software,Second Product Line,equals,OSS,软件,软件,"auto-learn dominant first+second (3, purity=1.000)"
129,First Product Line,equals,Cloud Value-added Service,Second Product Line,equals,Public Cloud,软件,软件,"auto-learn dominant first+second (3, purity=1.000)"
130,First Product Line,equals,Storage Product,Second Product Line,equals,Recording & Broadcasting,NVR,NVR,"auto-learn dominant first+second (2, purity=1.000)"
131,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,Intelligent Vehicle Infrastructure Cooperative Systems,交通,交通/停车场,"auto-learn dominant first+second (2, purity=1.000)"
132,First Product Line,equals,Alarm,Second Product Line,equals,Consumer Alarm,ALARM,ALARM,"auto-learn dominant first+second (2, purity=1.000)"
133,First Product Line,equals,Public Support,Second Product Line,equals,Maintenance Tool,软件,软件,"auto-learn dominant first+second (2, purity=1.000)"
134,First Product Line,equals,Pubilic Software,Second Product Line,equals,Mobile Client,软件,软件,"auto-learn dominant first+second (2, purity=1.000)"
135,First Product Line,equals,Fire Alarm,Second Product Line,equals,Fire Control Cloud Platform,软件,软件,"auto-learn dominant first+second (2, purity=1.000)"
136,First Product Line,equals,Fire Alarm,Second Product Line,equals,Overseas Fire Alarm Software,烟感,烟感,"auto-learn dominant first+second (2, purity=1.000)"
137,First Product Line,equals,SMB Software,Second Product Line,equals,SMB All-in-one Device,软件,软件,"auto-learn dominant first+second (2, purity=1.000)"
138,First Product Line,equals,Dahua Auto,Second Product Line,equals,PV Camera,车载前端,车载,"auto-learn dominant first+second (1, purity=1.000)"
139,First Product Line,equals,General Storage,Second Product Line,equals,Consumer Network KIT,NVR,NVR,"auto-learn dominant first+second (1, purity=1.000)"
140,First Product Line,equals,Enterprise Software,Second Product Line,equals,Edge Software,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
141,First Product Line,equals,Enterprise Software,Second Product Line,equals,Education Software,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
142,First Product Line,equals,Intelligent Computing,Second Product Line,equals,Extreme Server,IVSS,IVSS,"auto-learn dominant first+second (1, purity=1.000)"
143,First Product Line,equals,Smart Lock,Second Product Line,equals,Smart Lock,电子防盗门,电子防盗门,"auto-learn dominant first+second (1, purity=1.000)"
144,First Product Line,equals,General Storage,Second Product Line,equals,Forensic DVR,NVR,NVR,"auto-learn dominant first+second (1, purity=1.000)"
145,First Product Line,equals,Storage Product,Second Product Line,equals,Custom HDD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (1, purity=1.000)"
146,First Product Line,equals,Pubilic Software,Second Product Line,equals,PC Client,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
147,First Product Line,equals,Public Support,Second Product Line,equals,Hardware Research Institute,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
148,First Product Line,equals,Intelligent Computing,Second Product Line,equals,HDC,IVSS,IVSS,"auto-learn dominant first+second (1, purity=1.000)"
149,First Product Line,equals,Operation Services,Second Product Line,equals,Education Service,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
150,First Product Line,equals,Big Data,Second Product Line,equals,Visualized Big Data,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
151,First Product Line,equals,Intelligent Computing,Second Product Line,equals,Computing Products,IVSS,IVSS,"auto-learn dominant first+second (1, purity=1.000)"
152,First Product Line,equals,IPC,,,,IPC,IPC,"auto-learn first-line fallback (6673, purity=1.000)"
153,First Product Line,equals,HDCVI,,,,HAC,HAC,"auto-learn first-line fallback (6207, purity=1.000)"
154,First Product Line,equals,General Storage,,,,XVR,XVR,"auto-learn first-line fallback (2290, purity=0.995)"
155,First Product Line,equals,Commercial Display,,,,商显/TV-WALL,商显/TV-WALL,"auto-learn first-line fallback (2144, purity=0.854)"
156,First Product Line,equals,PTZ,,,,PTZ,PTZ,"auto-learn first-line fallback (1275, purity=1.000)"
157,First Product Line,equals,TPC Camera,,,,THERMAL,THERMAL,"auto-learn first-line fallback (1053, purity=1.000)"
158,First Product Line,equals,Intelligent Traffic,,,,交通,交通/停车场,"auto-learn first-line fallback (971, purity=0.871)"
159,First Product Line,equals,DAHUA ISCAN,,,,安检机,安检,"auto-learn first-line fallback (780, purity=0.988)"
160,First Product Line,equals,Thermal Camera,,,,THERMAL,THERMAL,"auto-learn first-line fallback (494, purity=1.000)"
161,First Product Line,equals,Alarm,,,,ALARM,ALARM,"auto-learn first-line fallback (433, purity=1.000)"
162,First Product Line,equals,Central Control,,,,键盘/解码器,键盘/解码器,"auto-learn first-line fallback (427, purity=0.843)"
163,First Product Line,equals,Fire Alarm,,,,烟感,烟感,"auto-learn first-line fallback (305, purity=0.993)"
164,First Product Line,equals,Intelligent Computing,,,,IVSS,IVSS,"auto-learn first-line fallback (228, purity=1.000)"
165,First Product Line,equals,Huafei Intelligence,,,,IPC,IPC,"auto-learn first-line fallback (173, purity=1.000)"
166,First Product Line,equals,Overseas Software,,,,软件,软件,"auto-learn first-line fallback (168, purity=1.000)"
167,First Product Line,equals,Dahua Storage,,,,硬盘/存储介质,硬盘/存储介质,"auto-learn first-line fallback (148, purity=1.000)"
168,First Product Line,equals,Intelligent EV Charging,,,,充电桩,充电桩,"auto-learn first-line fallback (113, purity=1.000)"
169,First Product Line,equals,Video Conference,,,,视频会议,视频会议,"auto-learn first-line fallback (102, purity=1.000)"
170,First Product Line,equals,Dahua Service,,,,软件,软件,"auto-learn first-line fallback (47, purity=1.000)"
171,First Product Line,equals,Government Software,,,,软件,软件,"auto-learn first-line fallback (14, purity=1.000)"
172,First Product Line,equals,Big Data,,,,软件,软件,"auto-learn first-line fallback (13, purity=1.000)"
173,First Product Line,equals,Storage,,,,硬盘/存储介质,硬盘/存储介质,"auto-learn first-line fallback (11, purity=1.000)"
174,First Product Line,equals,Chengdu Software,,,,软件,软件,"auto-learn first-line fallback (11, purity=1.000)"
175,First Product Line,equals,Smart Camera,,,,IPC,IPC,"auto-learn first-line fallback (8, purity=1.000)"
176,First Product Line,equals,SMB Software,,,,软件,软件,"auto-learn first-line fallback (7, purity=1.000)"
177,First Product Line,equals,Enterprise Software,,,,软件,软件,"auto-learn first-line fallback (6, purity=1.000)"
178,First Product Line,equals,Pubilic Software,,,,软件,软件,"auto-learn first-line fallback (3, purity=1.000)"
179,First Product Line,equals,Public Support,,,,软件,软件,"auto-learn first-line fallback (3, purity=1.000)"
180,First Product Line,equals,Xi'an Software,,,,软件,软件,"auto-learn first-line fallback (3, purity=1.000)"
181,First Product Line,equals,Cloud Value-added Service,,,,软件,软件,"auto-learn first-line fallback (3, purity=1.000)"
182,First Product Line,equals,Smart Lock,,,,电子防盗门,电子防盗门,"auto-learn first-line fallback (1, purity=1.000)"
183,First Product Line,equals,Operation Services,,,,软件,软件,"auto-learn first-line fallback (1, purity=1.000)"
184,First Product Line,contains,,,,,ACCESSORY,ACCESSORY,auto-learn final fallback
