priority,field1,match_type1,pattern1,field2,match_type2,pattern2,category,price_group_hint,note
48,First Level Product Category,equals,Thermal Cameras,Second Level Product Category,equals,Lite Series,THERMAL,THERMAL,"auto-learn dominant first+second (26, purity=1.000)"
49,First Level Product Category,equals,Intelligent Computing,Second Level Product Category,equals,IVSS,IVSS,IVSS,"auto-learn dominant first+second (26, purity=1.000)"
50,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,WizMind Series,PTZ,PTZ,"auto-learn dominant first+second (23, purity=1.000)"
51,First Level Product Category,equals,Interactive Whiteboard,Second Level Product Category,equals,Conference IFPD,电子白板,电子白板,"auto-learn dominant first+second (22, purity=1.000)"
52,First Level Product Category,equals,Accessories,Second Level Product Category,equals,Solar Power,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (22, purity=1.000)"
53,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,SDT Series,PTZ,PTZ,"auto-learn dominant first+second (20, purity=1.000)"
54,First Level Product Category,equals,Interactive Whiteboard,Second Level Product Category,equals,Education IFPD,电子白板,电子白板,"auto-learn dominant first+second (18, purity=1.000)"
55,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,Special series,IPC,IPC,"auto-learn dominant first+second (17, purity=1.000)"
56,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,Accessories,VDP,VDP,"auto-learn dominant first+second (16, purity=1.000)"
57,First Level Product Category,equals,Traffic,Second Level Product Category,equals,Traffic Enforcement Products,交通,交通/停车场,"auto-learn dominant first+second (16, purity=1.000)"
58,First Level Product Category,equals,Traffic,Second Level Product Category,equals,Parking Products,交通,交通/停车场,"auto-learn dominant first+second (16, purity=1.000)"
59,First Level Product Category,equals,Accessories,Second Level Product Category,equals,Power,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (16, purity=1.000)"
60,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,PoC Series,HAC,HAC,"auto-learn dominant first+second (15, purity=1.000)"
61,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,AI,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (15, purity=1.000)"
62,First Level Product Category,equals,Storage,Second Level Product Category,equals,IP Storage,EVS,EVS,"auto-learn dominant first+second (15, purity=1.000)"
63,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,Entry Series,IPC,IPC,"auto-learn dominant first+second (14, purity=1.000)"
64,First Level Product Category,equals,Wireless Cameras,Second Level Product Category,equals,Doorbell Series,IPC,IPC,"auto-learn dominant first+second (14, purity=1.000)"
65,First Level Product Category,equals,Traffic,Second Level Product Category,equals,Entrance&Exit Control Products,交通,交通/停车场,"auto-learn dominant first+second (14, purity=1.000)"
66,First Level Product Category,equals,Dahua Memory,Second Level Product Category,equals,Memory Card,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (14, purity=1.000)"
67,First Level Product Category,equals,Display,Second Level Product Category,equals,LCD Video Walls,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (13, purity=1.000)"
68,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,HDCVI PTZ Cameras,PTZ,PTZ,"auto-learn dominant first+second (12, purity=1.000)"
69,First Level Product Category,equals,Wireless Cameras,Second Level Product Category,equals,4G Series,IPC,IPC,"auto-learn dominant first+second (10, purity=1.000)"
70,First Level Product Category,equals,Mobile,Second Level Product Category,equals,MPT,车载前端,车载,"auto-learn dominant first+second (10, purity=1.000)"
71,First Level Product Category,equals,Intelligent EV Charging,Second Level Product Category,equals,DC Charger,充电桩,充电桩,"auto-learn dominant first+second (9, purity=1.000)"
72,First Level Product Category,equals,Display,Second Level Product Category,equals,Audio,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (8, purity=1.000)"
73,First Level Product Category,equals,Security Inspection Equipment,Second Level Product Category,equals,Baggage Inspection,安检机,安检机,"auto-learn dominant first+second (8, purity=1.000)"
74,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,Active Deterrence Sereis,HAC,HAC,"auto-learn dominant first+second (7, purity=1.000)"
75,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Lite Series,PTZ,PTZ,"auto-learn dominant first+second (7, purity=1.000)"
76,First Level Product Category,equals,Network Recorders,Second Level Product Category,equals,Special Series,NVR,NVR,"auto-learn dominant first+second (7, purity=1.000)"
77,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,Accessories,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (7, purity=1.000)"
78,First Level Product Category,equals,Control,Second Level Product Category,equals,Decoder,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (7, purity=1.000)"
79,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,Lite Series,IPC,IPC,"auto-learn dominant first+second (6, purity=1.000)"
80,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Explosion-Proof Cameras,PTZ,PTZ,"auto-learn dominant first+second (6, purity=1.000)"
81,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,Smart Home,VDP,VDP,"auto-learn dominant first+second (6, purity=1.000)"
82,First Level Product Category,equals,Alarms,Second Level Product Category,equals,Wired Alarm,ALARM,ALARM,"auto-learn dominant first+second (6, purity=1.000)"
83,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Positioning Systems,PTZ,PTZ,"auto-learn dominant first+second (5, purity=1.000)"
84,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Anti-Corrosion Cameras,PTZ,PTZ,"auto-learn dominant first+second (5, purity=1.000)"
85,First Level Product Category,equals,Control,Second Level Product Category,equals,Matrix,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (5, purity=1.000)"
86,First Level Product Category,equals,Intelligent Computing,Second Level Product Category,equals,IVD,IVSS,IVSS,"auto-learn dominant first+second (5, purity=1.000)"
87,First Level Product Category,equals,Security Inspection Equipment,Second Level Product Category,equals,People Screening,安检机,安检机,"auto-learn dominant first+second (5, purity=1.000)"
88,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,Wireless Series,IPC,IPC,"auto-learn dominant first+second (4, purity=1.000)"
89,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,Micro-size Series,HAC,HAC,"auto-learn dominant first+second (4, purity=1.000)"
90,First Level Product Category,equals,Alarms,Second Level Product Category,equals,Emergency Phone Tower,ALARM,ALARM,"auto-learn dominant first+second (4, purity=1.000)"
91,First Level Product Category,equals,Dahua Memory,Second Level Product Category,equals,Internal SSD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (4, purity=1.000)"
92,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Ultra Series,PTZ,PTZ,"auto-learn dominant first+second (3, purity=1.000)"
93,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,Emergency Phone Terminals,VDP,VDP,"auto-learn dominant first+second (3, purity=1.000)"
94,First Level Product Category,equals,Control,Second Level Product Category,equals,others,ACCESSORY线缆,ACCESSORY线缆,"auto-learn dominant first+second (3, purity=1.000)"
95,First Level Product Category,equals,Control,Second Level Product Category,equals,Keyboard,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (3, purity=1.000)"
96,First Level Product Category,equals,Control,Second Level Product Category,equals,Project Accessories,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (3, purity=1.000)"
97,First Level Product Category,equals,Accessories,Second Level Product Category,equals,Detector,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (3, purity=1.000)"
98,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,Accessories,IPC,IPC,"auto-learn dominant first+second (2, purity=1.000)"
99,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,Time Attendance,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (2, purity=1.000)"
100,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,Modules,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (2, purity=1.000)"
101,First Level Product Category,equals,Smart Electricity,Second Level Product Category,equals,others,充电桩,充电桩,"auto-learn dominant first+second (2, purity=1.000)"
102,First Level Product Category,equals,Fire Alarm,Second Level Product Category,equals,Fire Network Camera,IPC,IPC,"auto-learn dominant first+second (2, purity=1.000)"
103,First Level Product Category,equals,Traffic,Second Level Product Category,equals,Traffic Accessory,交通,交通/停车场,"auto-learn dominant first+second (2, purity=1.000)"
104,First Level Product Category,equals,Control,Second Level Product Category,equals,AVoIP,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (2, purity=1.000)"
105,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,others,IPC,IPC,"auto-learn dominant first+second (1, purity=1.000)"
106,First Level Product Category,equals,Display,Second Level Product Category,equals,MPS,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (1, purity=1.000)"
107,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,others,HAC,HAC,"auto-learn dominant first+second (1, purity=1.000)"
108,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,Panorama Series,HAC,HAC,"auto-learn dominant first+second (1, purity=1.000)"
109,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Pro Series,PTZ,PTZ,"auto-learn dominant first+second (1, purity=1.000)"
110,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,Mobile,PTZ,PTZ,"auto-learn dominant first+second (1, purity=1.000)"
111,First Level Product Category,equals,Thermal Cameras,Second Level Product Category,equals,Accessories,THERMAL,THERMAL,"auto-learn dominant first+second (1, purity=1.000)"
112,First Level Product Category,equals,Network Recorders,Second Level Product Category,equals,SSD NVR,NVR,NVR,"auto-learn dominant first+second (1, purity=1.000)"
113,First Level Product Category,equals,HDCVI Recorders,Second Level Product Category,equals,Accessories,XVR,XVR,"auto-learn dominant first+second (1, purity=1.000)"
114,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,4-wire Hybrid Products,VDP,VDP,"auto-learn dominant first+second (1, purity=1.000)"
115,First Level Product Category,equals,Fire Alarm,Second Level Product Category,equals,Residential Products,烟感,烟感,"auto-learn dominant first+second (1, purity=1.000)"
116,First Level Product Category,equals,Traffic,Second Level Product Category,equals,others,交通,交通/停车场,"auto-learn dominant first+second (1, purity=1.000)"
117,First Level Product Category,equals,Video Conference,Second Level Product Category,equals,USB Camera,视频会议,视频会议,"auto-learn dominant first+second (1, purity=1.000)"
118,First Level Product Category,equals,Control,Second Level Product Category,equals,Software,软件,软件,"auto-learn dominant first+second (1, purity=1.000)"
119,First Level Product Category,equals,Dahua Memory,Second Level Product Category,equals,USB Flash Drive,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (1, purity=1.000)"
120,First Level Product Category,equals,Account,Second Level Product Category,equals,ITESA,IPC,IPC,"auto-learn dominant first+second (1, purity=1.000)"
121,First Level Product Category,equals,others,,,,ACCESSORY,ACCESSORY,"auto-learn first-line fallback (901, purity=0.943)"
122,First Level Product Category,equals,Network Cameras,,,,IPC,IPC,"auto-learn first-line fallback (733, purity=1.000)"
123,First Level Product Category,equals,HDCVI Cameras,,,,HAC,HAC,"auto-learn first-line fallback (364, purity=1.000)"
124,First Level Product Category,equals,Thermal Cameras,,,,THERMAL,THERMAL,"auto-learn first-line fallback (224, purity=1.000)"
125,First Level Product Category,equals,Transmission,,,,TRANSMISSION,TRANSMISSION,"auto-learn first-line fallback (211, purity=1.000)"
126,First Level Product Category,equals,Network Recorders,,,,NVR,NVR,"auto-learn first-line fallback (182, purity=1.000)"
127,First Level Product Category,equals,Video Intercoms,,,,VDP,VDP,"auto-learn first-line fallback (181, purity=1.000)"
128,First Level Product Category,equals,PTZ Cameras,,,,PTZ,PTZ,"auto-learn first-line fallback (145, purity=1.000)"
129,First Level Product Category,equals,Access Control&Time Attendance,,,,ACCESS CONTROL,ACCESS CONTROL,"auto-learn first-line fallback (117, purity=1.000)"
130,First Level Product Category,equals,Wireless Cameras,,,,IPC,IPC,"auto-learn first-line fallback (79, purity=1.000)"
131,First Level Product Category,equals,HDCVI Recorders,,,,XVR,XVR,"auto-learn first-line fallback (77, purity=1.000)"
132,First Level Product Category,equals,Alarms,,,,ALARM,ALARM,"auto-learn first-line fallback (66, purity=1.000)"
133,First Level Product Category,equals,Security Inspection Equipment,,,,安检机,安检机,"auto-learn first-line fallback (62, purity=1.000)"
134,First Level Product Category,equals,Software,,,,软件,软件,"auto-learn first-line fallback (60, purity=1.000)"
135,First Level Product Category,equals,Mobile,,,,车载前端,车载,"auto-learn first-line fallback (50, purity=0.840)"
136,First Level Product Category,equals,Traffic,,,,交通,交通/停车场,"auto-learn first-line fallback (49, purity=1.000)"
137,First Level Product Category,equals,Interactive Whiteboard,,,,电子白板,电子白板,"auto-learn first-line fallback (40, purity=1.000)"
138,First Level Product Category,equals,Intelligent EV Charging,,,,充电桩,充电桩,"auto-learn first-line fallback (37, purity=1.000)"
139,First Level Product Category,equals,Intelligent Computing,,,,IVSS,IVSS,"auto-learn first-line fallback (31, purity=1.000)"
140,First Level Product Category,equals,Dahua Memory,,,,硬盘/存储介质,硬盘/存储介质,"auto-learn first-line fallback (19, purity=1.000)"
141,First Level Product Category,equals,Storage,,,,EVS,EVS,"auto-learn first-line fallback (15, purity=1.000)"
142,First Level Product Category,equals,Smart Electricity,,,,充电桩,充电桩,"auto-learn first-line fallback (2, purity=1.000)"
143,First Level Product Category,equals,Video Conference,,,,视频会议,视频会议,"auto-learn first-line fallback (1, purity=1.000)"
144,First Level Product Category,contains,,,,,ACCESSORY,ACCESSORY,auto-learn final fallback
